delivery_delay_days,is_late,approval_wait_hours,carrier_wait_days,order_dayofweek,order_hour,total_items,total_price,total_freight,avg_price,max_price,price_to_freight_ratio,payment_installments,payment_value,product_weight_g,product_photos_qty,product_description_lenght,category_bad_rate,state_bad_rate,same_state,customer_past_bad_orders,pay_credit_card,pay_debit_card,pay_not_defined,pay_voucher,season_Spring,season_Summer,season_Winter,is_bad_order
-17.0,0,0.19555555555555557,6.0,5,22,1.0,27.3,15.1,27.3,27.3,1.8079,1.0,42.4,200.0,,,0.12970505123641154,0.11955307262569832,0,0,True,False,False,False,False,True,False,0
-13.0,0,60.463055555555556,0.0,5,15,1.0,235.99,17.41,235.99,235.99,13.5548,1.0,253.4,4338.0,2.0,514.0,0.13500980916711253,0.11955307262569832,0,0,False,False,False,False,False,False,True,1
-16.0,0,0.3111111111111111,2.0,2,12,1.0,19.9,8.72,19.9,19.9,2.2821,1.0,28.62,350.0,1.0,299.0,0.11821305841924398,0.11095673837014325,1,0,False,False,False,True,True,False,False,1
32.0,1,60.50861111111111,13.0,1,21,1.0,25.99,14.1,25.99,25.99,1.8433,4.0,40.09,500.0,1.0,133.0,0.14926077382824787,0.1805944600062247,0,0,True,False,False,False,True,False,False,1
-17.0,0,0.38666666666666666,0.0,3,12,1.0,18.5,7.94,18.5,18.5,2.33,1.0,26.44,100.0,2.0,171.0,0.11785260482846252,0.1805944600062247,1,0,True,False,False,False,False,True,False,0
-8.0,0,0.24722222222222223,0.0,2,16,2.0,99.8,33.08,49.9,49.9,3.0169,1.0,132.88,450.0,2.0,850.0,0.10052447552447552,0.13130841121495326,0,0,True,False,False,False,False,False,True,0
-28.0,0,10.565,3.0,4,23,1.0,84.99,26.9,84.99,84.99,3.1595,3.0,111.89,2200.0,1.0,3185.0,0.11450641826650006,0.1805944600062247,0,0,True,False,False,False,False,False,True,0
-7.0,0,0.45361111111111113,0.0,2,18,1.0,199.0,32.79,199.0,199.0,6.0689,8.0,231.79,7750.0,5.0,993.0,0.10869565217391304,0.1805944600062247,0,0,True,False,False,False,False,False,False,0
32.0,1,0.14666666666666667,2.0,6,17,1.0,109.9,25.61,109.9,109.9,4.2913,5.0,135.51,1975.0,2.0,236.0,0.15525212342758843,0.1805944600062247,0,0,True,False,False,False,True,False,False,0
-17.0,0,0.1986111111111111,0.0,4,9,1.0,29.99,8.11,29.99,29.99,3.6979,1.0,38.1,150.0,5.0,193.0,0.10048622366288493,0.1207464324917673,1,0,True,False,False,False,True,False,False,0
-11.0,0,0.38666666666666666,0.0,1,23,1.0,59.9,14.13,59.9,59.9,4.2392,7.0,74.03,7000.0,1.0,799.0,0.11821305841924398,0.11095673837014325,1,0,True,False,False,False,False,False,True,0
-14.0,0,0.4419444444444444,3.0,1,10,1.0,42.9,15.1,42.9,42.9,2.8411,5.0,58.0,267.0,3.0,678.0,0.11821305841924398,0.1805944600062247,0,0,True,False,False,False,False,True,False,1
-16.0,0,0.18222222222222223,0.0,0,18,1.0,43.0,23.02,43.0,43.0,1.8679,6.0,66.02,250.0,4.0,181.0,0.13500980916711253,0.12577319587628866,0,0,True,False,False,False,False,False,True,0
-1.0,0,0.3738888888888889,1.0,1,7,2.0,25.0,28.2,12.5,12.5,0.8865,1.0,53.2,150.0,1.0,181.0,0.1145684155708892,0.1805944600062247,0,0,False,False,False,True,False,True,False,0
-27.0,0,62.826388888888886,1.0,5,14,3.0,449.88,68.50999999999999,149.96,179.9,6.5666,1.0,518.39,2050.0,1.0,234.0,0.15525212342758843,0.11095673837014325,1,0,False,False,False,False,False,False,False,0
